LTspice 24.1.10 for Windows
Circuit: H:\My Drive\UCI\PHD\RESEARCH\100X IMPROVEMENT IN BIOELECTRONIC SIGNAL ACQUISITION\BIOELECTRONIC SIGNAL ADQUISITION\SIMULATION\X1\CROSS COUPLED.net
Start Time: Thu Jul 16 12:42:31 2026
solver = Normal
Maximum thread count: 16
tnom = 27
temp = 27
method = trap
Direct Newton iteration for .op point succeeded.
.step itail=0.0009 cp=1e-13 c=9.832e-11
.step itail=0.000925 cp=1e-13 c=9.832e-11
.step itail=0.00095 cp=1e-13 c=9.832e-11
.step itail=0.000975 cp=1e-13 c=9.832e-11
.step itail=0.001 cp=1e-13 c=9.832e-11
.step itail=0.0009 cp=2e-13 c=9.832e-11
.step itail=0.000925 cp=2e-13 c=9.832e-11
.step itail=0.00095 cp=2e-13 c=9.832e-11
.step itail=0.000975 cp=2e-13 c=9.832e-11
.step itail=0.001 cp=2e-13 c=9.832e-11
.step itail=0.0009 cp=3e-13 c=9.832e-11
.step itail=0.000925 cp=3e-13 c=9.832e-11
.step itail=0.00095 cp=3e-13 c=9.832e-11
.step itail=0.000975 cp=3e-13 c=9.832e-11
.step itail=0.001 cp=3e-13 c=9.832e-11
.step itail=0.0009 cp=4e-13 c=9.832e-11
.step itail=0.000925 cp=4e-13 c=9.832e-11
.step itail=0.00095 cp=4e-13 c=9.832e-11
.step itail=0.000975 cp=4e-13 c=9.832e-11
.step itail=0.001 cp=4e-13 c=9.832e-11
.step itail=0.0009 cp=5e-13 c=9.832e-11
.step itail=0.000925 cp=5e-13 c=9.832e-11
.step itail=0.00095 cp=5e-13 c=9.832e-11
.step itail=0.000975 cp=5e-13 c=9.832e-11
.step itail=0.001 cp=5e-13 c=9.832e-11
.step itail=0.0009 cp=1e-13 c=9.932e-11
.step itail=0.000925 cp=1e-13 c=9.932e-11
.step itail=0.00095 cp=1e-13 c=9.932e-11
.step itail=0.000975 cp=1e-13 c=9.932e-11
.step itail=0.001 cp=1e-13 c=9.932e-11
.step itail=0.0009 cp=2e-13 c=9.932e-11
.step itail=0.000925 cp=2e-13 c=9.932e-11
.step itail=0.00095 cp=2e-13 c=9.932e-11
.step itail=0.000975 cp=2e-13 c=9.932e-11
.step itail=0.001 cp=2e-13 c=9.932e-11
.step itail=0.0009 cp=3e-13 c=9.932e-11
.step itail=0.000925 cp=3e-13 c=9.932e-11
.step itail=0.00095 cp=3e-13 c=9.932e-11
.step itail=0.000975 cp=3e-13 c=9.932e-11
.step itail=0.001 cp=3e-13 c=9.932e-11
.step itail=0.0009 cp=4e-13 c=9.932e-11
.step itail=0.000925 cp=4e-13 c=9.932e-11
.step itail=0.00095 cp=4e-13 c=9.932e-11
.step itail=0.000975 cp=4e-13 c=9.932e-11
