Signal,Step,Cp,Itail,f0 (MHz),Baseline (dB),Depth (dB),BW (Hz),Q,Note
"V(act+,act-)",Itail=100µ Cp=100f,100f,100µ,50.0543054305431,-6.021761324057374,0.1410824284497254,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=100f,100f,125µ,50.0543054305431,-6.02173073437666,0.19471418925982054,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=100f,100f,150µ,50.0543054305431,-6.021703330022915,0.2965497841985645,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=100f,100f,175µ,50.0543054305431,-6.021684546471665,0.5710920656016656,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=100f,100f,200µ,50.0545054505451,-6.0216670810603805,4.13471966168642,999.5919905304909,50074.93649882169,
"V(act+,act-)",Itail=225µ Cp=100f,100f,225µ,49.675267526752705,-6.021650677415525,8.006392861492628e-05,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=100f,100f,250µ,49.377837783778396,-6.021635164802165,3.9886237685138326e-05,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=100f,100f,275µ,49.1778177817782,-6.02162041422344,3.1482549689876294e-05,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=100f,100f,300µ,49.02800280028,-6.02160454535161,3.282668714987835e-05,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=200f,200f,100µ,50.029302930293,-6.0252003233851,0.5485020848015703,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=200f,200f,125µ,50.029502950295004,-6.0250850498259805,0.7495519680287694,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=200f,200f,150µ,50.029502950295004,-6.025004404594444,1.120866266165776,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=200f,200f,175µ,50.029702970297,-6.02493021682028,2.0604034114808396,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=200f,200f,200µ,50.029702970297,-6.024861153539989,10.108431593582312,4070.560891777277,12290.616526916312,
"V(act+,act-)",Itail=225µ Cp=200f,200f,225µ,49.8420842084208,-6.024796288137405,0.0012638162286853216,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=200f,200f,250µ,49.6094609460946,-6.02473494541007,0.0005786360819302061,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=200f,200f,275µ,49.4218421842184,-6.024676615225564,0.0004188097537758395,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=200f,200f,300µ,49.2696269626963,-6.02462090094189,0.000359961131600528,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=300f,300f,100µ,50.004500450045,-6.03090203212272,1.1829598140052706,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=300f,300f,125µ,50.004700470047,-6.030703146585485,1.5942921332748954,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=300f,300f,150µ,50.004700470047,-6.030523219486095,2.3266852658902257,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=300f,300f,175µ,50.004900490048996,-6.030357691910175,4.0461748902793255,8680.318896315992,5760.721591838238,
"V(act+,act-)",Itail=200µ Cp=300f,300f,200µ,50.004900490048996,-6.030203591148185,14.703055996467315,8272.933080084622,6044.398039484384,
"V(act+,act-)",Itail=225µ Cp=300f,300f,225µ,49.9154915491549,-6.030058850730205,0.008533108755025332,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=300f,300f,250µ,49.7416741674167,-6.02992196488796,0.0029692832631704746,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=300f,300f,275µ,49.5874587458746,-6.0297917959890945,0.0019461393846951225,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=300f,300f,300µ,49.4522452245224,-6.029667459503745,0.0015493826288350832,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=400f,400f,100µ,49.979697969797,-6.038993507606185,1.993102210564424,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=400f,400f,125µ,49.979897989799,-6.038641876394211,2.6435584782467796,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=400f,400f,150µ,49.980098009801,-6.03832373318645,3.7568539429399195,14099.244594052434,3544.8777185470203,
