Signal,Step,Cp,Itail,f0 (MHz),Baseline (dB),Depth (dB),BW (Hz),Q,Note
"V(act+,act-)",Itail=50µ Cp=100f,100f,50µ,49.985498549855,-6.021937597965965,0.018217957899055115,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=100f,100f,75µ,49.985498549855,-6.021924835416625,0.019175951795644686,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=100f,100f,100µ,49.985498549855,-6.02191402456142,0.020062131403990158,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=100f,100f,125µ,49.985498549855,-6.021904471848475,0.020910971655575317,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=100f,100f,150µ,49.985498549855,-6.0218958072335855,0.0217404590196546,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=100f,100f,175µ,49.985498549855,-6.021887825363775,0.022561609063934895,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=100f,100f,200µ,49.985498549855,-6.02188035877355,0.02338199866060009,,,notch shallower than 3 dB
"V(act+,act-)",Itail=225µ Cp=100f,100f,225µ,49.985498549855,-6.02187334736907,0.024207210695580628,,,notch shallower than 3 dB
"V(act+,act-)",Itail=250µ Cp=100f,100f,250µ,49.985498549855,-6.0218667001837645,0.025041741042725718,,,notch shallower than 3 dB
"V(act+,act-)",Itail=275µ Cp=100f,100f,275µ,49.985498549855,-6.0218603509835695,0.025889373030950402,,,notch shallower than 3 dB
"V(act+,act-)",Itail=300µ Cp=100f,100f,300µ,49.985498549855,-6.021854289169726,0.02675340641560453,,,notch shallower than 3 dB
"V(act+,act-)",Itail=325µ Cp=100f,100f,325µ,49.985498549855,-6.021848447696315,0.0276369371603451,,,notch shallower than 3 dB
"V(act+,act-)",Itail=350µ Cp=100f,100f,350µ,49.985498549855,-6.02184282658775,0.028542848908280405,,,notch shallower than 3 dB
"V(act+,act-)",Itail=375µ Cp=100f,100f,375µ,49.985498549855,-6.02183739441972,0.02947399468108003,,,notch shallower than 3 dB
"V(act+,act-)",Itail=400µ Cp=100f,100f,400µ,49.985498549855,-6.02183212452144,0.030433225486770077,,,notch shallower than 3 dB
"V(act+,act-)",Itail=50µ Cp=200f,200f,50µ,49.969896989699,-6.02592211822849,0.07251899064047063,,,notch shallower than 3 dB
"V(act+,act-)",Itail=75µ Cp=200f,200f,75µ,49.969896989699,-6.025870551594204,0.07631702656309525,,,notch shallower than 3 dB
"V(act+,act-)",Itail=100µ Cp=200f,200f,100µ,49.969896989699,-6.02582682321653,0.07982897586153026,,,notch shallower than 3 dB
"V(act+,act-)",Itail=125µ Cp=200f,200f,125µ,49.969896989699,-6.025788135366531,0.08319171296356931,,,notch shallower than 3 dB
"V(act+,act-)",Itail=150µ Cp=200f,200f,150µ,49.969896989699,-6.02575300472736,0.08647660616348052,,,notch shallower than 3 dB
"V(act+,act-)",Itail=175µ Cp=200f,200f,175µ,49.970097009701,-6.02572056866285,0.08972742812698975,,,notch shallower than 3 dB
"V(act+,act-)",Itail=200µ Cp=200f,200f,200µ,49.970097009701,-6.02569026431674,0.09297411349802953,,,notch shallower than 3 dB
