Signal,Step,Cp,Itail,f0 (MHz),Baseline (dB),Depth (dB),BW (Hz),Q,Note
"V(act+,act-)",Itail=170µ Cp=100f,100f,170µ,205.0,-6.032972257361195,0.005565624084815646,,,notch shallower than 3 dB
"V(act+,act-)",Itail=172µ Cp=100f,100f,172µ,205.0,-6.03297899723748,0.005558881613219491,,,notch shallower than 3 dB
"V(act+,act-)",Itail=174µ Cp=100f,100f,174µ,205.0,-6.03298571543091,0.005552160839520148,,,notch shallower than 3 dB
"V(act+,act-)",Itail=176µ Cp=100f,100f,176µ,205.0,-6.03299241238084,0.005545461324100387,,,notch shallower than 3 dB
"V(act+,act-)",Itail=178µ Cp=100f,100f,178µ,205.0,-6.0329990885141545,0.005538782639835205,,,notch shallower than 3 dB
"V(act+,act-)",Itail=180µ Cp=100f,100f,180µ,205.0,-6.033005744245729,0.005532124371590896,,,notch shallower than 3 dB
"V(act+,act-)",Itail=182µ Cp=100f,100f,182µ,205.0,-6.03301237997892,0.005525486115780076,,,notch shallower than 3 dB
"V(act+,act-)",Itail=184µ Cp=100f,100f,184µ,205.0,-6.03301899610599,0.005518867479920253,,,notch shallower than 3 dB
"V(act+,act-)",Itail=186µ Cp=100f,100f,186µ,205.0,-6.03302559300854,0.005512268082179972,,,notch shallower than 3 dB
"V(act+,act-)",Itail=188µ Cp=100f,100f,188µ,205.0,-6.033032171057935,0.005505687550964922,,,notch shallower than 3 dB
"V(act+,act-)",Itail=190µ Cp=100f,100f,190µ,205.0,-6.03303873061564,0.005499125524609738,,,notch shallower than 3 dB
"V(act+,act-)",Itail=170µ Cp=200f,200f,170µ,205.0,-6.069906244062205,0.021856679860714934,,,notch shallower than 3 dB
"V(act+,act-)",Itail=172µ Cp=200f,200f,172µ,205.0,-6.06993331582139,0.021829597868929795,,,notch shallower than 3 dB
"V(act+,act-)",Itail=174µ Cp=200f,200f,174µ,205.0,-6.069960301059275,0.021802602457754894,,,notch shallower than 3 dB
"V(act+,act-)",Itail=176µ Cp=200f,200f,176µ,205.0,-6.069987201536264,0.021775691865785873,,,notch shallower than 3 dB
"V(act+,act-)",Itail=178µ Cp=200f,200f,178µ,205.0,-6.070014018962745,0.021748864381625488,,,notch shallower than 3 dB
"V(act+,act-)",Itail=180µ Cp=200f,200f,180µ,205.0,-6.070040755001055,0.021722118341984675,,,notch shallower than 3 dB
"V(act+,act-)",Itail=182µ Cp=200f,200f,182µ,205.0,-6.07006741126736,0.02169545212975077,,,notch shallower than 3 dB
"V(act+,act-)",Itail=184µ Cp=200f,200f,184µ,205.0,-6.070093989333435,0.021668864172244895,,,notch shallower than 3 dB
"V(act+,act-)",Itail=186µ Cp=200f,200f,186µ,205.0,-6.07012049072836,0.021642352939499787,,,notch shallower than 3 dB
