# Ten-channel resonant ladder, W/L = 1000, L = 1 um, VDD = 5 V
# SMALL-SIGNAL run: drive 0.03 V RMS, chosen to keep the cross-coupled pairs
# linear.  At 1 V RMS the pairs intermodulate and, because the channel ladder
# is arithmetic, every sum of two channels lands on another channel.
# Excitation: white noise, new value every 0.5 ns (flat well past 200 MHz)
# Uniform sampling 500 ps (ngspice 'linearize'), 190 us total
# vin  = v(n05) - v(actm)   vout = v(actp) - v(actm)
#
# time[s]            vin[V]               vout[V]
0.000000000e+00 0.000000000e+00 -8.881784200e-16
5.000000000e-10 -2.680440570e-02 -3.991646120e-03
1.000000000e-09 2.248632180e-02 -3.104687480e-03
1.500000000e-09 3.118115410e-03 1.292581400e-03
2.000000000e-09 1.303714670e-02 3.300893130e-03
2.500000000e-09 1.081434280e-02 5.738948920e-03
3.000000000e-09 -1.814906950e-02 2.835700860e-03
3.500000000e-09 9.840862430e-03 1.036873030e-03
4.000000000e-09 -1.243978040e-02 1.995396930e-04
4.500000000e-09 2.147761740e-02 1.676154970e-03
5.000000000e-09 -1.127416000e-02 2.414447140e-03
5.500000000e-09 -9.304550150e-03 -1.187205070e-03
6.000000000e-09 -5.874225130e-03 -2.977950380e-03
6.500000000e-09 -1.740356030e-02 -5.518844470e-03
7.000000000e-09 -5.370586820e-03 -7.089055860e-03
7.500000000e-09 -7.435415460e-03 -6.894058440e-03
8.000000000e-09 2.308810620e-02 -2.463427590e-03
8.500000000e-09 -4.872722010e-03 6.330784390e-04
9.000000000e-09 3.806877370e-03 3.572917760e-04
9.500000000e-09 -4.792512590e-02 -6.423659410e-03
1.000000000e-08 1.002900350e-02 -9.578557380e-03
1.050000000e-08 7.835378280e-03 -4.318784330e-03
1.100000000e-08 6.628090040e-02 7.905929320e-03
1.150000000e-08 -1.675154570e-03 1.436072850e-02
1.200000000e-08 3.807731430e-02 1.572620790e-02
1.250000000e-08 2.188150480e-02 1.963952640e-02
1.300000000e-08 -2.418722060e-02 1.333723070e-02
1.350000000e-08 -1.152173930e-02 4.506588170e-03
1.400000000e-08 4.883888000e-02 8.967801050e-03
1.450000000e-08 2.958829190e-02 1.744935280e-02
1.500000000e-08 2.923159910e-03 1.692204290e-02
1.550000000e-08 3.130373780e-02 1.719418550e-02
1.600000000e-08 -2.075932570e-02 1.342212820e-02
1.650000000e-08 2.094305740e-02 9.932448630e-03
1.700000000e-08 8.400818230e-04 1.006169040e-02
1.750000000e-08 2.565777540e-02 1.115298200e-02
1.800000000e-08 -4.898893070e-02 4.102890430e-03
1.850000000e-08 -4.565064190e-02 -1.052207230e-02
1.900000000e-08 1.861987560e-02 -1.087909300e-02
1.950000000e-08 -4.515709150e-02 -1.197366740e-02
2.000000000e-08 4.154283520e-02 -8.405298240e-03
2.050000000e-08 -1.393368320e-02 -2.413695310e-03
2.100000000e-08 -5.630379060e-02 -1.201945060e-02
2.150000000e-08 4.536241410e-03 -1.551880310e-02
2.200000000e-08 1.867226100e-02 -7.687196310e-03
2.250000000e-08 -2.385895160e-02 -6.560462620e-03
2.300000000e-08 -6.124483580e-02 -1.711086230e-02
2.350000000e-08 3.000083000e-02 -1.602909590e-02
2.400000000e-08 3.810199100e-02 -1.691568390e-03
2.450000000e-08 2.186931660e-02 7.219620610e-03
2.500000000e-08 -2.914416400e-02 3.742230370e-03
2.550000000e-08 -2.463487810e-02 -4.972025700e-03
2.600000000e-08 2.959879070e-02 -2.465387290e-03
2.650000000e-08 -1.202304110e-02 4.241070450e-04
2.700000000e-08 1.045756440e-02 2.327812850e-04
2.750000000e-08 -4.394307300e-02 -5.011913590e-03
2.800000000e-08 -1.025934230e-02 -1.105949980e-02
2.850000000e-08 -3.908321650e-02 -1.513435230e-02
2.900000000e-08 -5.098843120e-02 -2.371437310e-02
2.950000000e-08 1.487428070e-02 -2.157730410e-02
3.000000000e-08 1.406262080e-02 -1.126361100e-02
3.050000000e-08 5.243171300e-03 -5.342393850e-03
3.100000000e-08 -3.168942030e-03 -3.589087800e-03
3.150000000e-08 2.447572690e-02 6.433369930e-04
3.200000000e-08 3.848170460e-02 9.485321980e-03
3.250000000e-08 1.930517650e-02 1.481449470e-02
3.300000000e-08 -1.731034540e-02 1.054549890e-02
3.350000000e-08 -1.000879180e-02 3.654674830e-03
3.400000000e-08 -2.627329550e-03 8.517915000e-04
3.450000000e-08 3.903268610e-02 6.114121870e-03
3.500000000e-08 -1.422387890e-02 7.568467350e-03
3.550000000e-08 3.162356400e-02 8.228455820e-03
3.600000000e-08 -5.594356740e-03 9.341592460e-03
3.650000000e-08 -5.173853550e-02 -1.822809600e-03
3.700000000e-08 -3.265913250e-03 -8.829493850e-03
3.750000000e-08 2.796800270e-02 -2.567113800e-03
3.800000000e-08 4.904458670e-02 9.291510330e-03
3.850000000e-08 -2.364813260e-02 9.723251420e-03
3.900000000e-08 2.140351050e-02 6.950450870e-03
3.950000000e-08 4.374244610e-02 1.440742330e-02
4.000000000e-08 3.835619570e-03 1.678068600e-02
4.050000000e-08 4.948326100e-02 1.991651680e-02
4.100000000e-08 2.255780770e-02 2.428802090e-02
4.150000000e-08 -4.363157680e-02 1.384966740e-02
4.200000000e-08 1.042641060e-02 5.508410040e-03
4.250000000e-08 -6.581135790e-02 -4.509854340e-03
4.300000000e-08 1.311200310e-02 -1.014146790e-02
4.350000000e-08 7.549662310e-03 -4.289410550e-03
4.400000000e-08 2.522278660e-02 1.792420890e-03
4.450000000e-08 9.441062470e-03 6.152803190e-03
4.500000000e-08 4.679671120e-02 1.270681290e-02
4.550000000e-08 1.989421240e-02 1.837686850e-02
4.600000000e-08 1.497975850e-02 1.802629640e-02
4.650000000e-08 -1.176337310e-02 1.309830180e-02
4.700000000e-08 1.670788640e-02 1.021054100e-02
4.750000000e-08 3.118142370e-02 1.419269560e-02
4.800000000e-08 -2.919428350e-02 9.983173070e-03
4.850000000e-08 -3.812508480e-02 -2.496485920e-03
4.900000000e-08 4.455732650e-03 -6.202229370e-03
4.950000000e-08 4.661441970e-02 3.222831780e-03
5.000000000e-08 7.285532990e-03 9.750609510e-03
5.050000000e-08 -2.660603770e-02 4.006492580e-03
5.100000000e-08 4.621366720e-03 -7.120939580e-05
5.150000000e-08 3.681669670e-02 6.055084450e-03
5.200000000e-08 -1.568860710e-02 6.904963470e-03
5.250000000e-08 2.541760970e-02 6.579408080e-03
5.300000000e-08 -3.766619810e-03 7.571062030e-03
5.350000000e-08 -1.824169230e-02 2.169814820e-03
5.400000000e-08 -2.096654810e-02 -4.032117330e-03
5.450000000e-08 1.821002080e-02 -2.967066360e-03
5.500000000e-08 2.171119290e-02 3.635760980e-03
5.550000000e-08 3.794266510e-02 1.124258240e-02
5.600000000e-08 1.960115020e-02 1.608301770e-02
5.650000000e-08 -3.842963800e-02 8.318479690e-03
5.700000000e-08 1.245279980e-02 2.563805720e-03
5.750000000e-08 -2.244813200e-02 1.292749590e-04
5.800000000e-08 -8.359900800e-04 -3.084860450e-03
5.850000000e-08 -3.467591210e-02 -7.503282170e-03
5.900000000e-08 -2.539007120e-02 -1.381014570e-02
5.950000000e-08 1.375644890e-02 -1.120856520e-02
6.000000000e-08 4.286399090e-02 3.270094250e-04
6.050000000e-08 -3.218119340e-03 5.593934760e-03
6.100000000e-08 -2.831832280e-02 -6.909619300e-04
6.150000000e-08 -1.331706210e-04 -4.415625760e-03
6.200000000e-08 3.080697660e-03 -2.766528700e-03
6.250000000e-08 -6.371338220e-05 -1.617856980e-03
6.300000000e-08 2.669235680e-02 2.799162480e-03
6.350000000e-08 -2.726094900e-02 1.520250970e-03
6.400000000e-08 2.433637130e-02 1.032940780e-03
6.450000000e-08 2.848748080e-02 8.315186180e-03
6.500000000e-08 2.224995270e-02 1.314924010e-02
6.550000000e-08 -1.625088840e-02 9.972515040e-03
6.600000000e-08 -3.841003740e-02 -8.495440220e-04
6.650000000e-08 -2.792413620e-03 -6.273511010e-03
6.700000000e-08 -3.208756060e-02 -9.664104740e-03
6.750000000e-08 -8.464146630e-04 -1.135923750e-02
6.800000000e-08 -4.863921870e-02 -1.546411880e-02
6.850000000e-08 2.139836540e-02 -1.429465910e-02
6.900000000e-08 3.661300880e-02 -1.763731360e-03
6.950000000e-08 2.970853210e-02 8.202671110e-03
7.000000000e-08 4.534890550e-02 1.668821520e-02
7.050000000e-08 1.954858930e-02 2.094185780e-02
7.100000000e-08 2.621765750e-02 2.146490340e-02
7.150000000e-08 2.775327140e-02 2.295118030e-02
7.200000000e-08 -1.620468360e-02 1.766098260e-02
7.250000000e-08 2.384125130e-02 1.394580170e-02
7.300000000e-08 2.650575820e-02 1.715274900e-02
7.350000000e-08 3.664882400e-02 2.136405950e-02
7.400000000e-08 7.262070380e-03 2.136583410e-02
7.450000000e-08 -5.464456870e-04 1.621245290e-02
7.500000000e-08 -3.853093980e-02 5.776239120e-03
7.550000000e-08 -5.710977080e-04 -1.186698600e-03
7.600000000e-08 -4.359151260e-02 -7.495041480e-03
7.650000000e-08 5.729394170e-02 -2.689392340e-03
7.700000000e-08 -2.681509700e-02 1.841875620e-03
7.750000000e-08 -3.745720770e-02 -7.926120030e-03
7.800000000e-08 2.536687830e-02 -6.899932790e-03
7.850000000e-08 -4.561879930e-03 -2.149500310e-03
7.900000000e-08 -3.154768080e-02 -6.827465020e-03
7.950000000e-08 -2.639243670e-02 -1.306488290e-02
8.000000000e-08 1.516126940e-02 -1.061768190e-02
8.050000000e-08 -2.860430480e-02 -9.802955790e-03
8.100000000e-08 -5.225840140e-02 -1.869685710e-02
8.150000000e-08 1.462395600e-02 -1.823907590e-02
8.200000000e-08 1.597534550e-02 -8.652660590e-03
8.250000000e-08 6.514267670e-03 -3.026854070e-03
8.300000000e-08 -2.436626240e-02 -4.909911000e-03
8.350000000e-08 8.435647230e-03 -5.510240380e-03
8.400000000e-08 6.456893730e-02 6.899590400e-03
8.450000000e-08 -2.972800020e-02 9.193305820e-03
8.500000000e-08 5.610351690e-02 1.088187410e-02
8.550000000e-08 -1.034765820e-02 1.370449790e-02
8.600000000e-08 2.180711570e-02 1.157806750e-02
8.650000000e-08 -3.118439700e-02 6.455722030e-03
8.700000000e-08 -4.624152060e-03 -3.594520810e-04
8.750000000e-08 -1.574378030e-04 -9.182701800e-04
8.800000000e-08 3.554700190e-03 -1.101635820e-04
8.850000000e-08 2.789172490e-02 4.658791680e-03
8.900000000e-08 -2.664182020e-02 3.188584830e-03
8.950000000e-08 6.544302370e-02 8.521439390e-03
9.000000000e-08 1.395235840e-02 1.705856170e-02
9.050000000e-08 -3.959121340e-02 8.161288710e-03
9.100000000e-08 -2.784713620e-02 -3.704036840e-03
