vdd,score,av_db,l_cmd,l_cms,l_d2s,l_dl,l_in,l_od,l_ol,l_sf,l_sfl,l_tail,w_cmd,w_cms,w_d2s,w_dl,w_in,w_od,w_ol,w_sf,w_sfl,w_tail
5,-1004.0347,-34.6650,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0354,-35.3568,15,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0359,-35.8732,20,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0360,-35.9595,10,50,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0353,-35.3259,10,70,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0341,-34.0723,10,140,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0335,-33.4977,10,200,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0351,-35.1381,10,100,30,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0349,-34.8857,10,100,40,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0346,-34.5719,10,100,85,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0345,-34.5413,10,100,120,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1005.0188,-18.8392,10,100,60,55,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0268,-26.8500,10,100,60,75,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0407,-40.7146,10,100,60,155,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1005.0451,-45.0891,10,100,60,220,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0313,-31.2941,10,100,60,110,15,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0289,-28.9439,10,100,60,110,20,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0322,-32.1963,10,100,60,110,10,30,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0332,-33.1838,10,100,60,110,10,40,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0360,-36.0168,10,100,60,110,10,85,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0374,-37.4262,10,100,60,110,10,120,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0374,-37.3907,10,100,60,110,10,60,55,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0362,-36.1511,10,100,60,110,10,60,75,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0334,-33.3751,10,100,60,110,10,60,155,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0321,-32.0980,10,100,60,110,10,60,220,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0347,-34.7093,10,100,60,110,10,60,110,15,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0348,-34.7754,10,100,60,110,10,60,110,20,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0345,-34.4707,10,100,60,110,10,60,110,10,30,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0346,-34.5582,10,100,60,110,10,60,110,10,40,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0347,-34.7430,10,100,60,110,10,60,110,10,85,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0348,-34.8094,10,100,60,110,10,60,110,10,120,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0293,-29.2716,10,100,60,110,10,60,110,10,60,15,1120,100,100,100,1550,100,100,170,100,1120
5,-1005.0235,-23.4773,10,100,60,110,10,60,110,10,60,20,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0360,-35.9999,10,100,60,110,10,60,110,10,60,10,560,100,100,100,1550,100,100,170,100,1120
5,-1004.0353,-35.3420,10,100,60,110,10,60,110,10,60,10,785,100,100,100,1550,100,100,170,100,1120
5,-1004.0341,-34.0576,10,100,60,110,10,60,110,10,60,10,1570,100,100,100,1550,100,100,170,100,1120
5,-1004.0335,-33.4773,10,100,60,110,10,60,110,10,60,10,2240,100,100,100,1550,100,100,170,100,1120
5,-1004.0335,-33.4773,10,100,60,110,10,60,110,10,60,10,1120,50,100,100,1550,100,100,170,100,1120
5,-1004.0340,-34.0250,10,100,60,110,10,60,110,10,60,10,1120,70,100,100,1550,100,100,170,100,1120
5,-1004.0353,-35.3053,10,100,60,110,10,60,110,10,60,10,1120,140,100,100,1550,100,100,170,100,1120
5,-1004.0360,-35.9998,10,100,60,110,10,60,110,10,60,10,1120,200,100,100,1550,100,100,170,100,1120
5,-1004.0346,-34.5774,10,100,60,110,10,60,110,10,60,10,1120,100,50,100,1550,100,100,170,100,1120
5,-1004.0346,-34.5935,10,100,60,110,10,60,110,10,60,10,1120,100,70,100,1550,100,100,170,100,1120
5,-1004.0348,-34.8082,10,100,60,110,10,60,110,10,60,10,1120,100,140,100,1550,100,100,170,100,1120
5,-1004.0351,-35.0740,10,100,60,110,10,60,110,10,60,10,1120,100,200,100,1550,100,100,170,100,1120
5,-1005.0455,-45.5321,10,100,60,110,10,60,110,10,60,10,1120,100,100,50,1550,100,100,170,100,1120
5,-1005.0413,-41.3374,10,100,60,110,10,60,110,10,60,10,1120,100,100,70,1550,100,100,170,100,1120
5,-1004.0273,-27.3325,10,100,60,110,10,60,110,10,60,10,1120,100,100,140,1550,100,100,170,100,1120
5,-1005.0179,-17.9213,10,100,60,110,10,60,110,10,60,10,1120,100,100,200,1550,100,100,170,100,1120
5,-1004.0291,-29.0865,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,775,100,100,170,100,1120
5,-1004.0318,-31.7582,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1085,100,100,170,100,1120
5,-1004.0375,-37.4586,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,2170,100,100,170,100,1120
5,-1004.0405,-40.4590,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,3100,100,100,170,100,1120
5,-1004.0376,-37.6006,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,50,100,170,100,1120
5,-1004.0362,-36.1509,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,70,100,170,100,1120
5,-1004.0333,-33.3055,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,140,100,170,100,1120
5,-1004.0319,-31.9054,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,200,100,170,100,1120
5,-1004.0319,-31.9054,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,50,170,100,1120
5,-1004.0332,-33.2251,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,70,170,100,1120
5,-1004.0361,-36.0654,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,140,170,100,1120
5,-1004.0376,-37.6006,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,200,170,100,1120
5,-1004.0348,-34.7936,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,85,100,1120
5,-1004.0347,-34.7042,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,120,100,1120
5,-1004.0347,-34.6613,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,240,100,1120
5,-1004.0347,-34.6811,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,340,100,1120
5,-1004.0348,-34.8117,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,50,1120
5,-1004.0347,-34.7464,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,70,1120
5,-1004.0346,-34.5746,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,140,1120
5,-1004.0345,-34.4615,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,200,1120
5,-1005.0229,-22.9431,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,560
5,-1004.0297,-29.7028,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,785
5,-1005.0382,-38.1836,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1570
5,-1005.0396,-39.5706,10,100,60,110,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,2240
5,-1004.0283,-28.2557,15,100,60,75,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
5,-1004.0292,-29.2377,20,100,60,75,10,60,110,10,60,10,1120,100,100,100,1550,100,100,170,100,1120
