tuning,f_hz,vout,db,cycles,drift,settled,pin,pout,eta,ripple,why
fixed,10000.0,4.01294e-06,-143.51317501249008,21360,0.0,True,0.189145,1.61688e-15,8.548362367495836e-15,7.217000000000002e-07,stable
fixed,13264.18146460637,1.24219e-05,-133.698667765447,21360,0.0,True,0.333158,1.5442e-14,4.6350380300037825e-14,9.58299999999999e-07,stable
fixed,17593.85099260072,3.90816e-05,-123.74298163153748,1420,0.0002507573896667782,True,0.586319,1.52757e-13,2.605356469771575e-13,1.2828000000000007e-06,stable
fixed,23336.80322271009,0.000120264,-113.97971545083519,1420,0.00011641056342715686,True,1.03332,1.44638e-12,1.399740641814733e-12,1.7080000000000047e-06,stable
fixed,30954.359274983737,0.00037116,-104.19120501890076,1420,4.580234939108907e-05,True,1.82244,1.3776e-11,7.5590965957727e-12,2.2789999999999963e-06,stable
fixed,41058.42385440056,0.00114651,-94.39487139887889,800,0.0,True,3.22069,1.31449e-10,4.0813924966389186e-11,3.030000000000003e-06,stable
fixed,54460.63846554919,0.0035745,-84.5181223118741,800,1.3987970345541123e-05,True,5.71111,1.27771e-09,2.2372358438202032e-10,4.1300000000001925e-06,stable
fixed,72237.57912853664,0.0112841,-74.53308981531983,800,8.862027100179974e-06,True,10.1877,1.27331e-08,1.2498503096871718e-09,5.6999999999991086e-06,stable
fixed,95817.23581247717,0.0366912,-64.29119002474559,800,1.3627245770116542e-05,True,18.3657,1.34624e-07,7.330186162248104e-09,7.900000000005125e-06,stable
fixed,127093.72032536777,0.107767,-54.93271247577458,800,1.855855688650628e-05,True,33.7321,1.16138e-06,3.4429519656351074e-08,1.0999999999997123e-05,stable
fixed,168579.41694076086,0.27585,-46.76896857404166,940,7.250317201384812e-06,True,64.0411,7.60932e-06,1.1881932071747674e-07,1.8000000000018e-05,stable
fixed,182732.51699022995,0.356951,-44.530256280427515,800,8.404514905337832e-06,True,77.5864,1.27414e-05,1.6422208015837827e-07,2.0999999999993246e-05,stable
fixed,223606.79774997898,0.676324,-38.979332358891064,800,7.3929063585393325e-06,True,128.727,4.57415e-05,3.553372641326218e-07,3.100000000000325e-05,stable
fixed,296596.11420752556,1.67038,-31.126122711816834,940,1.197332343533147e-05,True,283.724,0.000279018,9.834134581494692e-07,5.999999999994898e-05,stable
fixed,393410.4680545737,4.09968,-23.327429155072743,1080,7.3176443038852895e-06,True,668.782,0.00168074,2.5131358200430035e-06,9.999999999976694e-05,stable
fixed,394244.1723300766,4.12097,-23.282439281077,380,4.853226303332188e-06,True,672.774,0.00169824,2.524235478778906e-06,0.00011000000000027654,stable
fixed,500000.0,6.94985,-18.742919715381582,940,4.3166399274448295e-06,True,1000.23,0.00483005,4.828939343950891e-06,0.000140000000000029,stable
fixed,521826.7838351592,7.23147,-18.397896562777813,800,5.531378820540481e-06,True,984.941,0.00522942,5.309373860972383e-06,0.0001499999999996504,stable
fixed,605755.8276699234,7.35713,-18.248259738616028,520,5.436902705302482e-06,True,760.202,0.00541274,7.1201338591584866e-06,0.000140000000000029,stable
fixed,692160.5153881472,6.84376,-18.876532917810973,1080,2.922370159112977e-06,True,518.856,0.0046837,9.026974729019227e-06,0.00011999999999989797,stable
fixed,817267.4830097703,6.09305,-19.88573350010922,940,4.923642510688809e-06,True,311.177,0.00371253,1.1930605411068297e-05,0.00010000000000065512,stable
fixed,918094.2678743858,5.6377,-20.560389100801615,800,5.321318977553337e-06,True,220.739,0.00317837,1.439876958761252e-05,9.000000000014552e-05,stable
fixed,1028779.1383496169,5.27238,-21.142294261324665,800,5.6900299295104765e-06,True,160.607,0.0027798,1.7308087443262122e-05,9.000000000014552e-05,stable
fixed,1217776.8970700782,4.84397,-21.878399444364433,800,4.128844728444406e-06,True,103.338,0.00234641,2.2706168108537035e-05,8.00000000005241e-05,stable
fixed,1240290.793689464,4.80018,-21.957277877650778,520,6.249765633737161e-06,True,98.6934,0.00230417,2.334674861743541e-05,8.00000000005241e-05,stable
fixed,1451802.4490293108,4.50918,-22.500476898604916,660,4.435396236151811e-06,True,67.3031,0.00203327,3.0210644086230802e-05,6.000000000039307e-05,stable
fixed,1615281.37461428,4.3123,-22.88824901149863,660,4.637896250085302e-06,True,52.4836,0.00185959,3.5431830133603636e-05,7.00000000000145e-05,stable
fixed,1663314.1043691572,4.27119,-22.971450518890485,520,4.682535780457208e-06,True,49.0823,0.00182431,3.7168388604446006e-05,7.00000000000145e-05,stable
fixed,1874825.759709004,4.04528,-23.44345659352758,940,4.944033540355927e-06,True,37.5033,0.00163643,4.3634293515503965e-05,7.00000000000145e-05,stable
fixed,2142538.526928263,3.8486,-23.87637282948271,800,2.598347451038173e-06,True,27.9902,0.00148117,5.291744967881615e-05,5.999999999994898e-05,stable
fixed,2841901.9816086893,3.34245,-25.10112995324244,800,2.9918173794867576e-06,True,15.3531,0.0011172,7.276706332922994e-05,5.000000000032756e-05,stable
fixed,3769550.3588682106,2.75967,-26.76528529098629,940,3.6236216647720283e-06,True,8.56127,0.000761576,8.895596097307992e-05,3.999999999981796e-05,stable
fixed,5000000.0,2.13795,-28.98247745602585,1080,4.677377862001222e-06,True,4.82404,0.000457084,9.475128730275868e-05,3.0000000000196536e-05,stable
retuned,10000.0,0.0216035,-68.89194599509328,800,1.8515518318841574e-05,True,1000.25,4.66713e-08,4.665963509122719e-11,5.159999999999887e-05,stable
retuned,13264.18146460637,0.0385521,-63.86146754376127,800,1.5563354525521973e-05,True,1000.25,1.48627e-07,1.4858985253686578e-10,5.0700000000000744e-05,stable
retuned,17593.85099260072,0.0663712,-59.14283494363255,800,1.356009835588515e-05,True,1000.25,4.40513e-07,4.404028992751812e-10,5.0200000000000244e-05,stable
retuned,23336.80322271009,0.108534,-54.87111215700022,800,9.213702618543499e-06,True,1000.25,1.17796e-06,1.177665583604099e-09,5.100000000000937e-05,stable
retuned,30954.359274983737,0.171035,-50.92072850032032,800,1.1693513023661824e-05,True,1000.25,2.92531e-06,2.9245788552861787e-09,5.1999999999996493e-05,stable
retuned,41058.42385440056,0.262753,-47.191474673617584,800,7.611711379135538e-06,True,1000.25,6.90392e-06,6.902194451387153e-09,5.500000000002725e-05,stable
retuned,54460.63846554919,0.396468,-43.6182655400981,800,1.0089086634997026e-05,True,1000.25,1.57187e-05,1.5714771307173205e-08,5.899999999997574e-05,stable
retuned,72237.57912853664,0.590284,-40.16120810852306,800,8.470498946325423e-06,True,1000.25,3.48435e-05,3.4834791302174455e-08,6.499999999998174e-05,stable
retuned,95817.23581247717,0.869665,-36.795388498334724,940,6.899208315788826e-06,True,1000.25,7.56318e-05,7.561289677580605e-08,7.00000000000145e-05,stable
retuned,127093.72032536777,1.26843,-33.51709823793121,940,7.88376181583967e-06,True,1000.25,0.000160891,1.608507873031742e-07,8.000000000008001e-05,stable
retuned,168579.41694076086,1.83292,-30.319558138509418,940,1.0911550967804911e-05,True,1000.25,0.000335959,3.358750312421894e-07,8.999999999992347e-05,stable
retuned,182732.51699022995,2.03295,-29.419894392253234,800,4.918960131860357e-06,True,1000.25,0.000413291,4.131877030742314e-07,8.999999999970143e-05,stable
retuned,223606.79774997898,2.62296,-27.206594986453148,800,3.812486656321679e-06,True,1000.25,0.000687993,6.878210447388153e-07,9.999999999976694e-05,stable
retuned,296596.11420752556,3.72498,-24.15994943400486,940,5.369156344498769e-06,True,1000.25,0.00138755,1.3872031992002e-06,0.00010999999999983245,stable
retuned,393410.4680545737,5.23611,-21.20225310758615,940,5.729444186572178e-06,True,1000.24,0.00274168,2.741022154682876e-06,0.00013000000000040757,stable
retuned,394244.1723300766,5.24901,-21.18088033686615,380,5.715363468661829e-06,True,1000.24,0.00275522,2.754558905862593e-06,0.0001299999999995194,stable
retuned,500000.0,6.94478,-18.749258489774196,1080,7.19965211279313e-06,True,1000.23,0.004823,4.821890965078032e-06,0.0001499999999996504,stable
retuned,521826.7838351592,7.30215,-18.313413341175423,800,5.47783871876941e-06,True,1000.23,0.00533214,5.3309138898053445e-06,0.000140000000000029,stable
retuned,605755.8276699234,8.67536,-16.81667822623323,940,4.610759668793232e-06,True,1000.23,0.00752618,7.524449376643372e-06,0.0001499999999996504,stable
retuned,692160.5153881472,10.0749,-15.51761345638585,800,0.0,True,1000.22,0.0101503,1.0148067425166462e-05,0.00019999999999953388,stable
retuned,817267.4830097703,12.1191,-13.913020959065197,800,0.0,True,1000.2,0.0146872,1.4684263147370524e-05,0.00019999999999953388,stable
retuned,918094.2678743858,13.7552,-12.813090152033226,800,0.0,True,1000.22,0.0189205,1.8916338405550777e-05,0.00019999999999953388,stable
retuned,1028779.1383496169,15.5579,-11.743408826125172,800,6.427602697007112e-06,True,1000.29,0.024205,2.4197982585050338e-05,0.00019999999999953388,stable
retuned,1217776.8970700782,18.6241,-10.18092244249303,940,5.369386977076312e-06,True,1000.13,0.0346857,3.468119144511213e-05,0.00019999999999953388,stable
retuned,1240290.793689464,18.9801,-10.016458414831312,660,5.268676139734087e-06,True,1000.11,0.0360245,3.602053774084851e-05,0.0002999999999993008,stable
retuned,1451802.4490293108,22.304,-8.614773211558528,940,4.483500717349666e-06,True,1000.06,0.0497468,4.974381537107774e-05,0.00030000000000285354,stable
retuned,1615281.37461428,24.7926,-7.6959868675349306,800,4.033461597402731e-06,True,1000.0,0.0614673,6.146730000000001e-05,0.0002999999999993008,stable
retuned,1663314.1043691572,25.5312,-7.4410037859934866,660,7.833552672929068e-06,True,999.982,0.065184,6.518517333312e-05,0.00030000000000285354,stable
retuned,1874825.759709004,28.7266,-6.4167437968396115,940,3.4810941775137657e-06,True,999.86,0.0825218,8.253335466965376e-05,0.0002999999999993008,stable
retuned,2142538.526928263,32.4423,-5.36019562031832,800,3.0823955143813545e-06,True,999.817,0.10525,0.00010526926427536239,0.00039999999999906777,stable
retuned,2841901.9816086893,41.3627,-3.25025073779823,940,4.835274293011189e-06,True,999.147,0.171087,0.00017123306180171684,0.0004000000000061732,stable
retuned,3769550.3588682106,50.8552,-1.4557210075858007,940,3.9327345089496034e-06,True,997.879,0.258625,0.00025917470955897455,0.0004000000000061732,stable
retuned,5000000.0,60.4472,0.045095430615212755,1220,1.6543363463686363e-06,True,995.21,0.365386,0.00036714462274293867,0.000499999999995282,stable
