sweep,awg,d_mm,d_wire_mm,emf_per_sqrtw,eta,is_real,k,l_uh,layers,m_h,n,pin,pout,q,r_ac,settled,topology,vamp,vout,z_mm
forced_k,,,,,1.1533116720819794e-12,False,0.001,,,,,1000.25,1.1536e-09,,,True,,60.13418329037154,0.00339647,
forced_k,,,,,1.1370457385653587e-10,False,0.003,,,,,1000.25,1.13733e-07,,,True,,60.13418329037154,0.0337244,
forced_k,,,,,7.269392651837041e-09,False,0.01,,,,,1000.25,7.27121e-06,,,True,,60.13418329037154,0.269652,
forced_k,,,,,1.6034491377155712e-07,False,0.03,,,,,1000.25,0.000160385,,,True,,60.13418329037154,1.26643,
forced_k,,,,,3.405832600175958e-06,False,0.1,,,,,1000.24,0.00340665,,,True,,60.13418329037154,5.83665,
forced_k,,,,,4.8239604890875095e-06,True,0.11551951332252391,,,,,1000.23,0.00482507,,,True,,60.13418329037154,6.94627,
forced_k,,,,,4.3402123702681625e-05,False,0.3,,,,,1000.14,0.0434082,,,True,,60.13418329037154,20.8346,
forced_k,,,,,0.00013298577184751967,False,0.5,,,,,999.919,0.132975,,,True,,60.13418329037154,36.4657,
forced_k,,,,,0.0003629109000651416,False,0.8,,,,,999.361,0.362679,,,True,,60.13418329037154,60.2228,
forced_k,,,,,0.0005807304832546279,False,1.0,,,,,998.873,0.580076,,,True,,60.13418329037154,76.1627,
tx_inductance,18,1,1.0236873428326523,0.02523911436968695,1.1667199872030713e-08,,0.2531522878661007,0.0009947199788264312,1,8.035430165909482e-09,2,,,7.991945889213349,0.0003910192863139751,,solenoid,44.73010215249489,0.341614,
tx_inductance,36,1,0.127,0.040430815295694374,4.4942613772694556e-08,,0.1341160912547972,0.009204590431521427,1,1.294970801120824e-08,3,,,2.31350933218312,0.01249922499845,,solenoid,44.99998277774004,0.670473,
tx_inductance,36,1,0.127,0.11465615105019121,7.184183954011497e-07,,0.128474435558104,0.08594891498823903,2,3.790650740338525e-08,5,,,3.427509024276245,0.07877921779303915,,solenoid,46.449525676653344,2.68067,
tx_inductance,36,1,0.127,0.24854114895216894,4.80648450856303e-06,,0.11551951332252391,0.8372311278915585,4,1.0637875126455078e-07,8,,,3.255003439874643,0.8080603321396529,,solenoid,60.134188813679906,6.93368,
tx_inductance,36,2,0.127,0.2842971426424134,6.634324105455746e-06,,0.07937567932456308,3.965010259989139,4,1.5906933552123377e-07,12,,,5.960647297512782,2.0897809386218467,,solenoid,78.61018939834513,8.14608,
tx_inductance,36,3,0.127,0.2561491276274654,5.172907147641948e-06,,0.05079290557763423,15.126395165470534,4,1.9881430622267148e-07,20,,,9.608376801114309,4.945785631723691,,solenoid,109.04848125236491,7.19298,
tx_inductance,36,3,0.127,0.1804945982005303,2.22221666799968e-06,,0.04007427768207833,122.23630207921894,8,4.4590532498801166e-07,30,,,6.482817895067088,59.2360721571808,,solenoid,347.09097411825854,4.7146,
tx_inductance,36,8,0.127,0.10343202845105767,5.623495872500932e-07,,0.012371631345427068,1082.4679439376887,6,4.0964847864232854e-07,80,,,22.10888874712975,153.8147565586071,,solenoid,556.4436297750332,2.34931,
tx_inductance,36,10,0.127,0.05658560901888086,1.1292860621701821e-07,,0.008012838387299874,11366.105099987739,12,8.59743836890073e-07,120,,,15.679286604642664,2277.378632231766,,solenoid,2134.65624034961,1.06045,
tx_inductance,36,30,0.127,0.025391413562949404,1.323119326816617e-08,,0.0022581482328553944,132263.05148875483,12,8.265108712460351e-07,200,,,39.73807408479541,10456.385732529141,,solenoid,4573.26704501916,0.344481,
tx_inductance,36,120,0.127,0.006022901740613476,1.1921788318185532e-10,,0.00036532605420311413,1099281.5763089785,12,3.8548898668316846e-07,200,,,85.4195786298964,40429.78178717202,,solenoid,8992.30579853377,0.0280681,
distance,,,,,3.0092884209684355e-05,,0.2549421891642542,,,2.3476926925951938e-07,,,,,,,,,17.3488,0.1
distance,,,,,1.9266846630673867e-05,,0.20940140367727464,,,1.9283200903071373e-07,,,,,,,,,13.8819,0.2
distance,,,,,4.8239604890875095e-06,,0.11551951332252391,,,1.0637875126455078e-07,,,,,,,,,6.94627,0.5
distance,,,,,5.347023244188953e-07,,0.047481012850016574,,,4.37239623894435e-08,,,,,,,,,2.31265,1.0
distance,,,,,1.3771234314852774e-08,,0.012420313071051254,,,1.1437525633650608e-08,,,,,,,,,0.371124,2.0
distance,,,,,3.1673781554611344e-12,,0.0012741950282110252,,,1.173371251921289e-09,,,,,,,,,0.00562865,5.0
distance,,,,,1.3619595101224693e-15,,0.00018632565316802015,,,1.7158218332539555e-10,,,,,,,,,0.000116717,10.0
distance,,,,,4.501874531367158e-19,,2.5170313441356225e-05,,,2.3178651258278274e-11,,,,,,,,,2.122e-06,20.0
