topology,d_in_mm,d_out_mm,n,layers,awg,d_wire_mm,l_h,length_m,m_h,k,fom,eta_max,emf_per_sqrtw,r_dc,r_ac,r_skin,r_prox,prox_layers,skin_um,skin_limited,r_ratio,q,l_uh
pancake,1,7.5272864117672675,1,1,8,3.2636432058836338,5.207722331739562e-09,0.013394630173132058,2.984246057192665e-10,0.004108976357074884,7.2183645398786506e-06,1.8045846219007173e-06,0.0009374138061034463,2.689953543986597e-05,0.0002448222894911567,0.0002448222894911567,0.0,1,92.25496965451984,True,9.101357532306011,66.82619565944171,0.005207722331739563
solenoid,1,7.5272864117672675,1,1,8,3.2636432058836338,1.211215214948621e-10,0.0031415926535897933,1.4214793752721167e-10,0.0128337279135705,6.982831034239303e-06,1.7457016635952692e-06,0.0004465580955554889,6.30904936012137e-06,5.742091391543107e-05,5.742091391543107e-05,0.0,1,92.25496965451984,True,9.101357532306011,6.626757677181781,0.0001211215214948621
pancake,1,14.054572823534533,2,1,8,3.2636432058836338,3.404060272835657e-08,0.04729533538534864,1.0743937893562636e-09,0.005786124742383169,3.358649955084709e-06,8.396610787079473e-07,0.0033638564194693934,9.498004303922111e-05,0.006819974385955675,0.0008644473301337646,0.00595552705582191,2,92.25496965451984,True,71.80428822441604,15.680661158405222,0.03404060272835657
solenoid,1,7.5272864117672675,2,1,8,3.2636432058836338,3.3370833139317143e-10,0.006283185307179587,3.283482966586617e-10,0.017859700294994466,1.8629017368582762e-05,4.657210962614748e-06,0.0010314773699286852,1.261809872024274e-05,0.00011484182783086214,0.00011484182783086214,0.0,1,92.25496965451984,True,9.101357532306011,9.128865868370994,0.0003337083313931714
solenoid,1,14.054572823534533,2,2,8,3.2636432058836338,1.6740257079168976e-08,0.053578520692528234,1.2541841244806447e-09,0.009631704750717852,4.040061294515126e-06,1.0100132833720252e-06,0.0039250025047987865,0.00010759814175946388,0.007726007983308122,0.0009792891579646268,0.006746718825343495,2,92.25496965451984,True,71.80428822441604,6.807017126146347,0.016740257079168975
pancake,1,20.581859235301803,3,1,8,3.2636432058836338,1.0666465411662164e-07,0.10170211563664977,1.8714237646226595e-09,0.005693571765602972,1.929949037937192e-06,4.824867938969484e-07,0.005776171929596891,0.0002042415227980655,0.036009653917816124,0.001858875121927824,0.0341507787958883,3,92.25496965451984,True,176.30917271126606,9.305751578042308,0.10666465411662164
solenoid,1,7.5272864117672675,3,1,8,3.2636432058836338,5.726334859240847e-10,0.00942477796076938,3.5932801990628975e-10,0.014920234109212664,1.4873436431040866e-05,3.718331455628359e-06,0.0011287650496720199,1.892714808036411e-05,0.0001722627417462932,0.0001722627417462932,0.0,1,92.25496965451984,True,9.101357532306013,10.44323998527865,0.0005726334859240847
solenoid,1,14.054572823534533,3,2,8,3.2636432058836338,3.100816658419153e-08,0.08036778103879236,1.430255677580726e-09,0.008070465027475682,3.502688025231438e-06,8.756704727082916e-07,0.0044674685253858456,0.00016139721263919583,0.011589011974962182,0.0014689337369469403,0.010120078238015242,2,92.25496965451984,True,71.80428822441604,8.405809619719761,0.031008166584191532
pancake,1,33.63643205883634,5,1,8,3.2636432058836338,4.639972231599986e-07,0.2720339012565056,3.1704874425502694e-09,0.004624782045947614,7.149053567624271e-07,1.7872627530442674e-07,0.00880721250010875,0.0005463073987942218,0.2790127386644184,0.0049721389589702965,0.2740405997054481,5,92.25496965451984,True,510.72480306918624,5.224457759682247,0.4639972231599986
solenoid,1,7.5272864117672675,5,1,8,3.2636432058836338,1.0786300700648577e-09,0.015707963267948967,3.922579630430402e-10,0.01186747787658802,1.0634668115779149e-05,2.658652892018009e-06,0.0012321378714951537,3.154524680060686e-05,0.0002871045695771554,0.0002871045695771554,0.0,1,92.25496965451984,True,9.101357532306011,11.80272508043853,0.0010786300700648577
solenoid,1,14.054572823534533,5,2,8,3.2636432058836338,6.363777287788325e-08,0.13394630173132058,1.6193588872968409e-09,0.006378352937492857,2.6940866842063666e-06,6.735207637902365e-07,0.005038935159376983,0.0002689953543986597,0.019315019958270303,0.002448222894911567,0.016866797063358734,2,92.25496965451984,True,71.80428822441604,10.350699103387173,0.06363777287788325
